	precision	recall	f1-score	support
Apple___Apple_scab	0.910714286	0.68	0.778625954	150
Apple___Black_rot	0.928176796	0.949152542	0.938547486	177
Apple___Cedar_apple_rust	0.942307692	0.91875	0.930379747	160
Apple___healthy	0.876923077	0.901185771	0.888888889	253
Background_without_leaves	0.953608247	0.984042553	0.968586387	188
Blueberry___healthy	0.85546875	0.995454545	0.920168067	220
Cherry___Powdery_mildew	0.921212121	0.962025316	0.941176471	158
Cherry___healthy	0.964102564	0.969072165	0.966580977	194
Corn___Cercospora_leaf_spot Gray_leaf_spot	0.790697674	0.834355828	0.811940299	163
Corn___Common_rust	0.974619289	0.974619289	0.974619289	197
Corn___Northern_Leaf_Blight	0.835714286	0.74522293	0.787878788	157
Corn___healthy	0.959183673	1	0.979166667	188
Grape___Black_rot	0.920863309	0.744186047	0.823151125	172
Grape___Esca_(Black_Measles)	0.842105263	0.945454545	0.890792291	220
Grape___Leaf_blight_(Isariopsis_Leaf_Spot)	0.938271605	0.938271605	0.938271605	162
Grape___healthy	0.912087912	0.976470588	0.943181818	170
Orange___Haunglongbing_(Citrus_greening)	0.985651214	0.993325918	0.989473684	899
Peach___Bacterial_spot	0.970149254	0.883152174	0.924608819	368
Peach___healthy	0.928994083	0.957317073	0.942942943	164
"Pepper,_bell___Bacterial_spot"	0.930232558	0.759493671	0.836236934	158
"Pepper,_bell___healthy"	0.914498141	0.911111111	0.912801484	270
Potato___Early_blight	0.820359281	0.964788732	0.886731392	142
Potato___Late_blight	0.88	0.825	0.851612903	160
Potato___healthy	0.904458599	0.959459459	0.931147541	148
Raspberry___healthy	0.986111111	0.87654321	0.928104575	162
Soybean___healthy	0.969872538	0.973255814	0.97156123	860
Squash___Powdery_mildew	0.937931034	0.978417266	0.957746479	278
Strawberry___Leaf_scorch	0.924731183	0.955555556	0.93989071	180
Strawberry___healthy	0.898203593	0.949367089	0.923076923	158
Tomato___Bacterial_spot	0.797752809	0.871165644	0.832844575	326
Tomato___Early_blight	0.875	0.150537634	0.256880734	186
Tomato___Late_blight	0.710382514	0.841423948	0.77037037	309
Tomato___Leaf_Mold	0.815384615	0.721088435	0.76534296	147
Tomato___Septoria_leaf_spot	0.714285714	0.76433121	0.738461538	314
Tomato___Spider_mites Two-spotted_spider_mite	0.793103448	0.816129032	0.80445151	310
Tomato___Target_Spot	0.755102041	0.678899083	0.714975845	218
Tomato___Tomato_Yellow_Leaf_Curl_Virus	0.939720129	0.973244147	0.95618839	897
Tomato___Tomato_mosaic_virus	0.831325301	0.873417722	0.851851852	158
Tomato___healthy	0.86971831	0.953667954	0.909760589	259
accuracy	0.8978	0.8978	0.8978	0.8978
macro avg	0.889205744	0.875614246	0.873821022	10000
weighted avg	0.899666617	0.8978	0.892450096	10000
